Name,Brand,Selling Price,MRP,Discount,Ratings,No_of_ratings,Details
Thomson 9R PRO 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,Thomson,19999,33999,41% off,4.4,15183 Ratings & 3547 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product and 6 Months on Accessories']
SAMSUNG Crystal 4K Neo Series 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV with (Black) (2022 Mod...,SAMSUNG,46999,70900,33% off,4.4,15280 Ratings & 1651 Reviews,['Operating System: Tizen' 'Ultra HD (4K) Crystal 4K FE UHD (3840 x 2160) Pixels' '1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel']
SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with 2022 Model,SAMSUNG,12990,18900,31% off,4.3,73617 Ratings & 6551 Reviews,['Operating System: Tizen' 'HD Ready 1366 x 768 Pixels' '1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel']
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),Mi,12999,24999,48% off,4.4,329264 Ratings & 31298 Reviews,['Operating System: Android' 'HD Ready 1366 x 768 Pixels' '1 Year Warranty on Product and 2 Years for Panel']
Thomson Alpha 80 cm (32 inch) HD Ready LED Smart Linux TV with 30 W Sound Output & Bezel-Less Design,Thomson,7999,14999,46% off,4.5,7220 Ratings & 1294 Reviews,['Operating System: Linux' 'HD Ready 1366 x 768 Pixels' '1 Year Warranty on Product and 6 Months on Accessories']
realme 80 cm (32 inch) HD Ready LED Smart Android TV,realme,11999,17999,33% off,4.3,237671 Ratings & 26878 Reviews,['Operating System: Android' 'HD Ready 1366 x 768 Pixels' '1 Year Domestic Warranty 2 Years on Panel']
Vu 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV,Vu,19999,40000,50% off,4.4,24776 Ratings & 3858 Reviews,['Operating System: WebOS' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Domestic Warranty from Vu']
LG 80 cm (32 inch) HD Ready LED Smart TV,LG,23247,28000,16% off,4.2,71 Ratings & 9 Reviews,['HD Ready 1366 x 768 Pixels' '1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on panel/module']
LG 80 cm (32 inch) HD Ready LED Smart WebOS TV,LG,13490,21990,38% off,4.4,49451 Ratings & 4401 Reviews,['Operating System: WebOS' 'HD Ready 1366 x 768 Pixels' '1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on Panel/Module from the date of purchase.']
realme 100.3 cm (40 inch) Full HD LED Smart Android TV with Android 11 - 2022 Model,realme,17999,31999,43% off,4.3,237671 Ratings & 26878 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Domestic Warranty on Product and 2 Years on Panel']
Thomson 9R PRO 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,Thomson,28999,46999,38% off,4.4,15183 Ratings & 3547 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product and 6 Months on Accessories']
Thomson 9R PRO 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,Thomson,25999,42999,39% off,4.4,15183 Ratings & 3547 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product and 6 Months on Accessories']
Vu GloLED 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with DJ Subwoofer 84W,Vu,25999,40000,35% off,4.4,5606 Ratings & 1061 Reviews,['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Domestic Warranty from Vu']
OnePlus Y1 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Audio,OnePlus,21999,27999,21% off,4.3,137565 Ratings & 12704 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Warranty on Product and 1 Year Additional Warranty for Panel']
Infinix Y1 80 cm (32 inch) HD Ready LED Smart Linux TV with Wall Mount,Infinix,8999,16999,47% off,4.2,10905 Ratings & 1599 Reviews,['Operating System: Linux' 'HD Ready 1366 x 768 Pixels' '1 Year Domestic Warranty']
realme NEO 80 cm (32 inch) HD Ready LED Smart Linux TV,realme,10999,21999,50% off,4.3,34839 Ratings & 3049 Reviews,['Operating System: Linux' 'HD Ready 1366 x 768 Pixels' '1 Year Warranty on Product and 2 Years Warranty on the Display Panel']
SAMSUNG Crystal 4K 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV,SAMSUNG,45999,69900,34% off,4.3,11689 Ratings & 1193 Reviews,['Operating System: Tizen' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel']
SAMSUNG The Frame 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,SAMSUNG,91990,144900,36% off,4.2,1379 Ratings & 179 Reviews,['Operating System: Tizen' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel']
Mi 5A 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Audio (2022 Model),Mi,20999,29999,30% off,4.4,329264 Ratings & 31298 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Warranty on Product and 2 Years for Panel']
SAMSUNG Crystal 4K Neo Series 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV with (Black) (2022 Mod...,SAMSUNG,31990,47900,33% off,4.4,15280 Ratings & 1651 Reviews,['Operating System: Tizen' 'Ultra HD (4K) Crystal 4K FE UHD (3840 x 2160) Pixels' '1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel']
Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,Adsun,6599,18999,65% off,3.9,14297 Ratings & 2153 Reviews,['Operating System: Android Based' 'HD Ready 1366 x 768 Pixels' '3 Years Standard Manufacturer Warranty from Adsun']
Thomson OATHPRO Max 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 40W Speakers,Thomson,27999,46999,40% off,4.5,28566 Ratings & 7417 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product and 6 Months on Accessories']
Thomson 9A Series 80 cm (32 inch) HD Ready LED Smart Android TV,Thomson,8999,14499,37% off,4.4,88179 Ratings & 18468 Reviews,['Operating System: Android' 'HD Ready 1366 x 768 Pixels' '1 Year Warranty on Product & 6 Months on Accessories']
OnePlus Y1S 108 cm (43 inch) Full HD LED Smart Android TV with Android 11 and Bezel-Less Frame,OnePlus,24999,31999,21% off,4.3,137565 Ratings & 12704 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Comprehensive Warranty and Additional 1 Year on Panel Provided By the Manufacturer From Date of Purchase']
OnePlus Y1S 80 cm (32 inch) HD Ready LED Smart Android TV with Android 11 and Bezel-Less Frame,OnePlus,15999,21999,27% off,4.3,137565 Ratings & 12704 Reviews,['Operating System: Android' 'HD Ready 1366 x 768 Pixels' '1 Year Comprehensive Warranty and Additional 1 Year on Panel Provided By the Manufacturer From Date of Purchase']
Vu GloLED 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV with DJ Subwoofer 104W,Vu,52999,85000,37% off,4.4,5606 Ratings & 1061 Reviews,['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Domestic Warranty']
OnePlus Y1S Pro 138 cm (55 inch) Ultra HD (4K) LED Smart Android TV,OnePlus,39999,49999,20% off,4,19 Ratings & 0 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Comprehensive Warranty on Product and Additional 1 Year Warranty on Panel Provided by the Manufacturer from the Date of Purchase']
SONY Bravia 125.7 cm (50 inch) Ultra HD (4K) LED Smart Google TV,SONY,52999,85900,38% off,4.6,2738 Ratings & 550 Reviews,"['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' ""1 year Comprehensive warranty by the manufacture from the date of purchase | Contact Brand toll free number for assistance and provide product's model name and seller's details mentioned on your invoice. The service center will allot you a convenient slot for the service.""]"
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,Adsun,7999,29999,73% off,3.9,14297 Ratings & 2153 Reviews,['Operating System: Android Based' 'HD Ready 1366 x 768 Pixels' '3 Years Standard Manufacturer Warranty from Adsun']
iFFALCON by TCL 79.97 cm (32 inch) HD Ready LED TV,iFFALCON,7499,18990,60% off,4.2,1557 Ratings & 150 Reviews,['HD Ready 1366 x 768 Pixels' '1 Year Warranty on Product']
Blaupunkt 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Far-Field Mic,Blaupunkt,40999,59999,31% off,4.7,641 Ratings & 170 Reviews,['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product and 6 Months on Accessories']
MarQ by Flipkart 60 cm (24 inch) HD Ready LED TV,MarQ,5499,14999,63% off,4.2,1861 Ratings & 222 Reviews,['HD Ready 1366 x 768 Pixels' '1 Year Warranty']
Infinix Y1 109 cm (43 inch) Full HD LED Smart Linux TV with Wall Mount,Infinix,15490,24999,38% off,4.2,10905 Ratings & 1599 Reviews,['Operating System: Linux' 'Full HD 1920 x 1080 Pixels' '1 Year Warranty on Product']
Thomson OATHPRO Max 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 40W Speakers,Thomson,29999,54999,45% off,4.5,28566 Ratings & 7417 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product and 6 Months on Accessories']
